year,registered_voters,turnout,percent_turnout,valid_vote,ak_parti,anadolu_partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc_parti,hadep,hakpar,hap,has_parti,hdp,hepar,hkp,hp,huda_par,hyp,idp,ip,iyi_parti,kp,ldp,mcp,mdp,mep,mhp,millet_partisi,mmp,odp,rp,saadet_partisi,shp,sip,sp,tkp,turk_parti,vatan_partisi,ydh,ydp,yeni_parti,ytp,yurtp,city,ap,birlik_partisi,cgp,ckmp,cmp,demokratik_parti,gp,hurriyet_partisi,msp,tbp,tip,vp,ytp_,prev_year,winner,prev_winner,nationalist,right_wing,left_wing,political_islam,kurdish,liberal,socialist,soc_democ,populist,nat_prev,right_wing_prev,left_wing_prev,political_islam_prev,kurdish_prev,liberal_prev,socialist_prev,social_democ_prev,populist_prev,swing,saadet partisi,vatan partisi,ak parti,iyi parti,bgmz,bdp,millet partisi,sbp,bagimsizlar,baskanlik sayisi,genc parti,huda par,a.p.,turk parti,myp,BAĞIMSIZLAR_vote,bagimsizlar_percent,ANAP_vote,anap_percent,DSP_vote,dsp_percent,DYP_vote,dyp_percent,IDP_vote,idp_percent,MÇP_vote,mcp_percent,RP_vote,rp_percent,SHP_vote,shp_percent
2019,1067817.0,913730.0,0.8556990570481646,888857.0,,,,,,,1140.0,490431.0,,,,0.0,6213.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,818.0,,,,,,,,hatay,,,,,,,,,,,,,,2014.0,chp,chp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,7547.0,1829.0,380455.0,0.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1281570.0,1094234.0,0.8538230451711573,1057902.0,,,,,,,1939.0,477020.0,,,,127168.0,4719.0,,,,,,,,,,0.0,,,,,,,,,,,,,,433669.0,,,,,,,,,2187.0,,,,,,,,icel,,,,,,,,,,,,,,2014.0,chp,mhp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,7202.0,3998.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,10560963.0,8925166.0,0.8451091060540596,8746566.0,,,,,,,0.0,4742082.0,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,istanbul,,,,,,,,,,,,,,2014.0,chp,akp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,47832.0,13962.0,3936068.0,0.0,6622.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,3250780.0,2740742.0,0.8431028860765724,2667297.0,,,,,,,3956.0,1550192.0,,,,11209.0,20509.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,8061.0,,,,,,,,izmir,,,,,,,,,,,,,,2014.0,chp,chp,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0,30180.0,7963.0,1032359.0,0.0,2868.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,956149.0,820938.0,0.8585879397457927,789750.0,,,,,,,4031.0,0.0,,,,0.0,3218.0,,,,,,,,,,4542.0,,,,,,,,,,,,,,0.0,,,,,,,,,1361.0,,,,,,,,kayseri,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,21688.0,2380.0,500621.0,248947.0,2962.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1349480.0,1151218.0,0.8530826688798648,1098319.0,,,,,,,4692.0,0.0,,,,6143.0,10876.0,,,,,,,,,,41870.0,,,,,,,,,,,,,,0.0,,,,,,,,,3470.0,,,,,,,,kocaeli,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,54640.0,2827.0,610507.0,359060.0,4234.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1521399.0,1285194.0,0.8447448696890165,1218037.0,,,,,,,8623.0,0.0,,,,5647.0,6486.0,,,,,,,,,,26589.0,,,,,,,,,,,,,,0.0,,,,,,,,,3690.0,,,,,,,,konya,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,50099.0,3423.0,859115.0,245997.0,8368.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,561708.0,464819.0,0.8275100230012746,446292.0,,,,,,,1482.0,103690.0,,,,1651.0,1345.0,,,,,,,,,,6555.0,,,,,,,,,,,,,,0.0,,,,,,,,,625.0,,,,,,,,malatya,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,23709.0,618.0,305588.0,0.0,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,1052970.0,933133.0,0.8861914394522161,873021.0,,,,,,,4290.0,0.0,,,,12014.0,6626.0,,,,,,,,,,37919.0,,,,,,,,,,,,,,460671.0,,,,,,,,,2888.0,,,,,,,,manisa,,,,,,,,,,,,,,2014.0,mhp,mhp,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10098.0,3853.0,0.0,332338.0,2324.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,754604.0,656611.0,0.8701398349332895,624585.0,,,,,,,5412.0,170407.0,,,,0.0,7628.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,888.0,,,,,,,,kahramanmaras,,,,,,,,,,,,,,2014.0,akp,akp,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,13145.0,1857.0,422222.0,0.0,3026.0,,,,,,,,,,,,,,,,,,,,,,,,,,
