year,city,registered_voters,turnout,percent_turnout,valid_vote,ak parti,anadolu partisi,anap,atp,bbp,bp,btp,chp,dbp,dehap,depar,dp,dsp,dtp,dyp,emep,fp,genc parti,hadep,hakpar,hap,has parti,hdp,hepar,hkp,hp,huda par,hyp,idp,ip,iyi parti,kp,ldp,mcp,mdp,mep,mhp,millet partisi,mmp,odp,rp,saadet partisi,shp,sip,sp,tkp,turk parti,vatan partisi,ydh,ydp,yeni parti,ytp,yurtp,bgmz,not .  milletvekili genel seciminde  milletvekili secilmistir. ancak istanbul'dan secilen mhp milletvekillerinden bir milletvekilinin olumu nedeniyle meclis'te bulunan milletvekili sayisi  olmustur.,milletvekili sayisi,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp 
1954,antep,154473.0,143773.0,93.1,,,,,,,,,58834.0,,,,83026.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.0,,8.0,,,,,,,,,,,,,
1950,antep,132453.0,120422.0,90.9,,,,,,,,,49333.0,,,,69792.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
1977,urfa,292408.0,202902.0,69.4,196964.0,,,,,,,,65910.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11876.0,,,,,,,,,,,,,,,,,10437.0,,7.0,64785.0,,2223.0,,,3301.0,,,38432.0,,,,
1973,urfa,217627.0,130588.0,60.0,126474.0,,,,,,,,36615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1188.0,,,,,,,,,,,,,,,,,80.0,,7.0,42365.0,,2419.0,,,21609.0,,,22198.0,,,,
1969,urfa,207153.0,133624.0,64.5,128694.0,,,,,,,,28904.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.0,1059.0,,,,,,,,,,,,,,,,16915.0,,6.0,55992.0,,,,,,10516.0,,,,2578.0,,12101.0
1965,urfa,182322.0,125037.0,68.6,118841.0,,,,,,,,36307.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26444.0,,7.0,41486.0,,,,,,,,,,3771.0,,10833.0
1961,urfa,166814.0,124534.0,74.7,120042.0,,,,,,,,51544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,24741.0,,,7299.0,,,,,,,,,36456.0
1957,urfa,166416.0,126035.0,75.7,,,,,,,,,65096.0,,,,57017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,3136.0,,,225.0,,,,,
1954,urfa,147215.0,133792.0,90.9,,,,,,,,,51127.0,,,,65070.0,,,,,,,,,,,,,,,,,,,,803.0,,,,,,,,,,,,,,,,,,,,,,14591.0,,8.0,,,,,,,,,,,,,
1950,urfa,122703.0,108828.0,88.7,,,,,,,,,51924.0,,,,55959.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,
1977,istanbul,2518737.0,1572729.0,62.4,1530966.0,,,,,,,,891772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41261.0,,,,,,,,,,,,,,,,,2895.0,,44.0,434879.0,,15342.0,,,18246.0,,,101078.0,21521.0,4817.0,,
1973,istanbul,1749970.0,1066535.0,60.9,1020316.0,,,,,,,,499225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18786.0,3875.0,,,,,,,,,,,,,,,,5555.0,,38.0,290763.0,,28728.0,,,72775.0,,,85454.0,15155.0,,,
1969,istanbul,1195896.0,626836.0,52.4,600334.0,,,,,,,,203309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15508.0,16275.0,,,,,,,,,,,,,,,,7756.0,,33.0,286841.0,17216.0,,,,,13882.0,,,,34633.0,,4914.0
1965,istanbul,1010051.0,651473.0,64.5,623536.0,,,,,,,,185479.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30471.0,,,,,,,,,,,,,,,,11686.0,,31.0,331447.0,,,9250.0,,,,,,,49422.0,,5781.0
1961,istanbul,975422.0,725702.0,74.4,709873.0,,,,,,,,270920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31216.0,,31.0,296568.0,,,87696.0,,,,,,,,,23473.0
