city,year,registered_voters,turnout,valid_vote,saadet partisi,btp,tkp,vatan partisi,chp,ak parti,dp,mhp,iyi parti,hdp,dsp,bgmz,anap,ldp,dtp,ip,hakpar,bbp,bdp,millet partisi,odp,emep,hyp,dyp,rp,sbp,shp,ydp,bagimsizlar,baskanlik sayisi,atp,genc parti,ytp,huda par,a.p.,turk parti,hkp,myp,yurtp,hepar,bp,dbp,dehap,depar,fp,hadep,sip,BAĞIMSIZLAR_vote,bagimsizlar_percent,percent_turnout,ANAP_vote,anap_percent,DSP_vote,dsp_percent,DYP_vote,dyp_percent,IDP_vote,idp_percent,MÇP_vote,mcp_percent,RP_vote,rp_percent,SHP_vote,shp_percent,prev_year,winner,prev_winner,swing,election_type,anadolu partisi,hap,has parti,hp,idp,kp,mcp,mdp,mep,mmp,sp,ydh,yeni parti,ap,birlik partisi,cgp,ckmp,cmp,demokratik parti,gp,hurriyet partisi,msp,tbp,tip,vp,ytp ,event,event_bool,cyprus,earthquake,kurdish,refugee
antalya,2009,653936.0,539782.0,524052.0,9301.0,1149.0,710.0,,214325.0,176331.0,4900.0,92287.0,,,2220.0,206.0,1421.0,296.0,19867.0,0.0,0.0,0.0,0.0,0.0,1039.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8254355166254802,,,,,,,,,,,,,,,2004.0,chp,akp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
bursa,2009,1331645.0,1122453.0,1074707.0,32298.0,5895.0,1974.0,,289750.0,506825.0,66083.0,132652.0,,,13192.0,6028.0,6980.0,875.0,0.0,0.0,0.0,12155.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842907081091432,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
diyarbakir,2009,450963.0,360973.0,349230.0,2038.0,668.0,342.0,,2011.0,111134.0,1752.0,962.0,,,841.0,0.0,0.0,,227472.0,394.0,1616.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8004492608041014,,,,,,,,,,,,,,,2004.0,dtp,shp,1,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
erzurum,2009,227052.0,183443.0,178380.0,10325.0,435.0,184.0,,1993.0,101524.0,905.0,60477.0,,,322.0,0.0,0.0,,2215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8079338653700474,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
eskisehir,2009,460672.0,392825.0,378540.0,6153.0,463.0,448.0,,10598.0,140478.0,3957.0,21408.0,,,195035.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8527216761600445,,,,,,,,,,,,,,,2004.0,dsp,dsp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
gaziantep,2009,729349.0,594367.0,569897.0,18875.0,1577.0,610.0,,172101.0,304014.0,1767.0,28612.0,,,2050.0,490.0,0.0,,32268.0,0.0,0.0,7533.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8149281071201853,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
icel,2009,552367.0,456339.0,439265.0,2501.0,748.0,562.0,,135632.0,92715.0,1107.0,108775.0,,,16128.0,376.0,0.0,,79483.0,0.0,718.0,0.0,0.0,520.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8261518157312077,,,,,,,,,,,,,,,2004.0,chp,chp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
istanbul,2009,8805063.0,7199083.0,6946435.0,337014.0,17071.0,7709.0,,2568710.0,3105555.0,33089.0,348269.0,,,90399.0,5541.0,21960.0,3025.0,314229.0,0.0,9502.0,79401.0,0.0,4961.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8176072107604454,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
izmir,2009,2422480.0,2043178.0,1972359.0,18428.0,5992.0,5483.0,,1107562.0,599395.0,14169.0,138056.0,,,30659.0,38867.0,6569.0,1420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5759.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8434240943165682,,,,,,,,,,,,,,,2004.0,chp,chp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
kayseri,2009,581273.0,494668.0,477233.0,21352.0,2979.0,681.0,,40862.0,291333.0,4509.0,107637.0,,,3496.0,272.0,2018.0,392.0,0.0,0.0,0.0,0.0,0.0,901.0,0.0,801.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8510080461332282,,,,,,,,,,,,,,,2004.0,akp,akp,0,municipality,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0
